Depth,Temperature,FCond
51.58,26.3482,598.024
51.63,26.304,598.612
51.68,26.3307,597.813
51.73,26.3307,599.227
51.78,26.3307,598.044
51.83,26.3307,598.964
51.88,26.3482,597.912
51.93,26.3415,598.744
51.98,26.3415,598.252
52.03,26.3415,598.252
52.08,26.3307,599.493
52.13,26.3657,598.569
52.18,26.3307,599.579
52.23,26.3599,598.832
52.28,26.3657,598.71
52.33,26.3657,599.711
52.38,26.3833,598.393
52.43,26.3833,599.227
52.48,26.3833,597.911
52.53,26.3833,599.227
52.58,26.3966,598.174
52.63,26.3966,599.493
52.68,26.3783,598.251
52.73,26.4008,598.481
52.78,26.3783,599.271
52.83,26.3833,598.481
52.88,26.3966,598.174
52.93,26.3833,599.632
52.98,26.4008,598.042
53.03,26.3833,599.139
53.08,26.4008,598.305
53.13,26.3833,599.139
53.18,26.4008,598.174
53.23,26.3833,599.139
53.28,26.3783,598.174
53.33,26.4008,598.481
53.38,26.3783,599.403
53.43,26.3966,598.481
53.48,26.4008,598.389
53.53,26.3783,599.271
53.58,26.4008,598.756
53.63,26.3833,599.271
53.68,26.3833,598.305
53.73,26.3833,599.623
53.78,26.4008,598.437
53.83,26.3783,599.139
53.88,26.3833,598.756
53.93,26.4008,598.305
53.98,26.3833,599.403
54.03,26.3966,598.305
54.08,26.3783,599.77
54.13,26.3783,598.756
54.18,26.3966,599.032
54.23,26.3833,598.389
54.28,26.3833,599.623
54.33,26.415,598.437
54.38,26.3657,599.54
54.43,26.4008,598.788
